# Constraint: D (numeric-heavy — every claim contains a specific number, percentage, or dollar amount)
"claim_text","immigration","healthcare","crime","economy","education","legal_political","elections","foreign_policy"
"The administration approved 487,000 employment-based visas during the most recent fiscal year, a 12 percent increase.","1","0","0","0","0","0","0","0"
"Senator Henrik Voss introduced legislation expanding refugee admissions to 125,000 annually starting in 2025.","1","0","0","0","0","0","0","0"
"Border Patrol arrested 2.4 million individuals during the most recent twelve-month enforcement window.","1","0","0","0","0","0","0","0"
"USCIS reduced its asylum interview backlog from 1.6 million to 1.1 million cases over 18 months.","1","0","0","0","0","0","0","0"
"Representative Annette Pulaski voted against allocating $14 billion in supplemental border security funding.","1","0","0","1","0","0","0","0"
"H-1B petitions filed in fiscal year 2024 totaled 781,000 against an annual cap of 85,000.","1","0","0","1","0","0","0","0"
"Governor Tomas Reichert deployed 3,200 state National Guard troops to assist with federal operations.","1","0","0","0","0","0","0","0"
"The administration paroled 240,000 individuals into the country under three humanitarian programs.","1","0","0","0","0","0","0","0"
"Detained migrants spent an average of 47 days in ICE custody during the most recent fiscal year.","1","0","0","0","0","0","0","0"
"Senator Ileana Voskanyan voted to fund 18,000 additional immigration judges over a five-year period.","1","0","0","0","0","0","0","0"
"Customs and Border Protection seized 27,400 pounds of fentanyl at official crossings last year.","1","0","1","0","0","0","0","0"
"Refugee resettlement agencies received $1.2 billion in federal funding during the most recent fiscal year.","1","0","0","1","0","0","0","0"
"The asylum officer corps grew to 4,800 personnel after a hiring surge of 1,400 positions.","1","0","0","0","0","0","0","0"
"AG Mireya Calderon-Schultz announced 41 indictments in a $32 million human smuggling enterprise.","1","0","1","0","0","0","0","0"
"Mayor Ezekiel Tanaka announced that the city would absorb 6,200 newly arrived migrants over three months.","1","0","0","0","0","0","0","0"
"Premiums for benchmark ACA plans rose 7.4 percent on average for the upcoming plan year.","0","1","0","0","0","0","0","0"
"Medicare drug price negotiations targeted 10 medications projected to save $7.4 billion annually.","0","1","0","1","0","0","0","0"
"Hospital systems reported $42 billion in uncompensated care costs during the previous calendar year.","0","1","0","1","0","0","0","0"
"Senator Wilhelmina Stoltzfus introduced legislation funding 14,000 new primary care residency slots over five years.","0","1","0","0","0","0","0","0"
"FDA approved 55 novel drug applications and 18 biosimilars during the previous calendar year.","0","1","0","0","0","0","0","0"
"Maternal mortality rates climbed to 32.9 deaths per 100,000 live births last year.","0","1","0","0","0","0","0","0"
"Representative Bartolomeo Aguirre voted to expand Medicaid telehealth permanently at a cost of $4.2 billion.","0","1","0","1","0","0","0","0"
"Mental health crisis hotlines handled 4.8 million calls during the first full year of operation.","0","1","0","0","0","0","0","0"
"The 988 Suicide and Crisis Lifeline received $501 million in federal funding during the most recent year.","0","1","0","1","0","0","0","0"
"Insulin copays dropped to $35 per month for 3.4 million Medicare beneficiaries.","0","1","0","0","0","0","0","0"
"Hospital closures hit 47 rural facilities during the previous fiscal year, displacing 28,000 patients.","0","1","0","0","0","0","0","0"
"Governor Sanjay Whitfield-Park signed legislation expanding Medicaid coverage to 410,000 additional adults.","0","1","0","1","0","0","0","0"
