# Constraint: F (long-form — every claim 25–40 words, compound or complex sentences only)
claim_text,immigration,healthcare,crime,economy,education
"Senator Ahanonu introduced legislation expanding employment-based green cards for healthcare workers serving rural counties, arguing that current quotas had created persistent staffing shortages at facilities serving the country's most underserved populations.",1,1,0,0,0
"The Department of Homeland Security announced new enforcement priorities focused on individuals with serious criminal histories, while explicitly deprioritizing removal proceedings for long-term residents who had no prior contact with the criminal justice system.",1,0,1,0,0
"Representative Vance voted against an appropriations amendment that would have funded an additional eighteen thousand detention beds, citing concerns about ICE oversight failures and the rising costs of contracts with private detention operators.",1,0,1,0,0
"Governor Beauchamp signed an executive order limiting cooperation between state law enforcement agencies and federal immigration authorities, except in cases involving individuals charged with violent felonies or actively wanted on outstanding state warrants.",1,0,1,0,0
"Customs and Border Protection deployed advanced surveillance technology along a remote stretch of the southwestern border, drawing both praise from enforcement advocates and criticism from civil liberties groups who raised concerns about privacy implications.",1,0,1,0,0
"AG Tremaine filed federal civil rights complaints against three Texas counties, alleging that local sheriff's offices had detained individuals on immigration holds without judicial warrants in violation of established constitutional protections.",1,0,1,0,0
"Senator Halverson co-sponsored legislation expanding the visa waiver program to additional allied nations, while simultaneously tightening eligibility requirements to address concerns raised by intelligence agencies about potential national security vulnerabilities.",1,0,0,0,0
"The administration announced a new humanitarian parole program for individuals fleeing political persecution in three specific countries, capping monthly admissions at thirty thousand individuals and requiring private financial sponsorship for each applicant.",1,0,0,0,0
"Representative Solano introduced legislation requiring federal contractors to verify employment eligibility through expanded electronic systems, while also creating new criminal penalties for employers found to be systematically circumventing those verification requirements.",1,0,1,0,0
"Refugee resettlement agencies in Minnesota and the upper Midwest reported successful placement of nearly five thousand individuals during the previous fiscal year, though local officials raised concerns about long-term integration support and housing availability.",1,0,0,0,0
"Senator Tillman introduced legislation expanding Medicare coverage to include hearing aids and routine dental care, arguing that the current omission of these services had created significant out-of-pocket burdens for elderly Americans living on fixed incomes.",0,1,0,0,0
"Hospital systems serving rural communities across the Mississippi Delta and Appalachia reported continued financial pressure from declining patient volumes and rising labor costs, with several facilities announcing service reductions and emergency department closures.",0,1,0,1,0
"Representative Whitcombe voted against an amendment that would have eliminated Medicaid coverage for non-emergency dental care, arguing that the proposed cut would shift costs to emergency rooms and worsen outcomes for low-income patients.",0,1,0,0,0
"The FDA announced an accelerated approval pathway for novel therapies addressing rare pediatric conditions, while simultaneously requiring expanded post-market surveillance commitments from manufacturers to monitor long-term safety outcomes in affected patient populations.",0,1,0,0,0
"Governor Ramachandran signed legislation expanding mental health insurance parity enforcement under state-regulated plans, requiring insurers to demonstrate equivalent treatment standards for behavioral health services compared to traditional medical and surgical care.",0,1,0,0,0
"AG Schweitzer announced a multi-state investigation into anti-competitive practices among regional hospital systems, focusing on facility consolidation patterns that critics argued had reduced competition and driven up prices for both insurers and patients.",0,1,1,1,0
"Senator Yarborough introduced legislation requiring pharmaceutical manufacturers to publicly disclose research and development costs for newly approved medications, citing concerns that current pricing structures bore little relationship to actual investment levels.",0,1,0,1,0
"The Department of Veterans Affairs expanded its mental health workforce through partnerships with community-based providers, addressing what officials characterized as a sustained crisis in access to behavioral health services for veterans in rural communities.",0,1,0,0,0
"Mayor Borenstein announced an expanded partnership between municipal hospitals and community health workers, aiming to reduce emergency department utilization for chronic conditions while improving primary care access in historically underserved neighborhoods.",0,1,0,0,0
"Federal regulators issued new guidance addressing potential shortages of commonly prescribed generic medications, while simultaneously launching investigations into pricing practices that had effectively driven multiple manufacturers out of the market for older drugs.",0,1,1,1,0
"Senator Meriwether voted against legislation expanding mandatory minimum sentences for fentanyl distribution offenses, arguing that the proposed approach had repeatedly failed to address underlying public health crises and would worsen prison overcrowding.",0,1,1,0,0
"Federal prosecutors brought charges in a sprawling securities fraud case involving multiple investment firms, alleging that executives had systematically misrepresented investment performance to retail investors over a period spanning nearly seven years.",0,0,1,1,0
"Representative Halloran voted to advance legislation addressing wrongful convictions in federal cases, expanding access to DNA evidence testing and creating new procedures for reviewing cases involving potentially unreliable forensic methods used during original prosecutions.",0,0,1,0,0
"AG Pavlovic announced federal charges against a regional drug trafficking enterprise spanning four states, citing extensive cooperation between local law enforcement agencies and federal authorities in dismantling the multi-year distribution operation.",0,0,1,0,0
"Police departments in major cities continued adopting new use-of-force policies emphasizing de-escalation training and crisis intervention techniques, while critics argued that meaningful accountability mechanisms remained absent from most jurisdictions across the country.",0,0,1,0,0
"Governor Krasniqi commuted death sentences for forty-two individuals on the state's death row before her term ended, citing persistent concerns about racial disparities in capital cases and the irreversibility of execution decisions.",0,0,1,0,0
"The FBI reported a continued rise in hate crimes targeting religious institutions across the country, with attacks on synagogues and mosques showing particularly sharp increases compared to figures recorded during previous reporting periods.",0,0,1,0,0
"Senator Lavinia Steiger co-sponsored legislation banning the use of solitary confinement for juveniles in federal facilities, citing extensive research linking the practice to long-term mental health consequences and increased likelihood of recidivism after release.",0,0,1,0,0
"Mayor Akinwumi expanded a community violence interruption program to include additional neighborhoods identified through statistical analysis as having elevated rates of gun-related incidents, citing early evidence of reduced shootings in original program areas.",0,0,1,0,0
"State courts in multiple jurisdictions reported continued backlogs in processing post-conviction relief petitions, with average waiting times exceeding eighteen months in some districts despite legislative efforts to expand judicial capacity over the previous biennium.",0,0,1,0,0
"AG Branfield announced settlements with major payday lenders totaling four hundred million dollars over predatory lending practices targeting low-income borrowers and individuals exiting state correctional facilities seeking transitional financial assistance.",0,0,1,1,0
"Inflation in major metropolitan areas continued to outpace wage growth in service sector industries, creating particular hardship for workers in hospitality and retail despite headline economic indicators that suggested overall labor market improvements.",0,0,0,1,0
"The Federal Reserve held interest rates steady at its most recent policy meeting, while signaling that future decisions would depend on continued progress against inflation and stability in employment data over coming months.",0,0,0,1,0
