# Constraint: H (cross-topic — all rows multi-label, ≥2 topics; fresh speaker pool)
"claim_text","immigration","healthcare","crime","economy","education","legal_political","elections","foreign_policy"
"Senator Achterberg introduced a bill linking SNAP eligibility to participation in workforce training or vocational education programs.","0","0","0","1","1","0","0","0"
"Representative Yelchin voted to tie federal hospital tax-exempt status to charity care provision in low-income school districts.","0","1","0","0","1","0","0","0"
"Governor Esquivel-Ramos signed legislation expanding Medicaid coverage for inmates exiting state correctional facilities into community programs.","0","1","1","0","0","0","0","0"
"Mayor Stojanovic announced a partnership between city hospitals and the local university to train bilingual community health workers.","1","1","0","0","1","0","0","0"
"AG Petrosyan filed criminal charges against two for-profit colleges over deceptive recruitment of veterans receiving disability benefits.","0","0","1","1","1","0","0","0"
"Senator Chakraborty co-sponsored legislation linking federal disaster relief funding to local healthcare infrastructure investments in border communities.","1","1","0","1","0","0","0","0"
"Representative Mwangi introduced a bill requiring federal contractors to verify legal work authorization while also mandating workplace safety training.","1","0","0","1","0","0","0","0"
"Governor Lindgren-Holst expanded Medicaid coverage for behavioral health services in juvenile justice settings statewide.","0","1","1","0","0","0","0","0"
"Mayor Talavera announced a citywide initiative providing free SAT preparation to children of farmworkers and recently arrived immigrants.","1","0","0","0","1","0","0","0"
"AG Vasilenko announced settlements with three pharmacy chains over fentanyl distribution near schools serving low-income neighborhoods.","0","1","1","0","1","0","0","0"
"Senator Ojuoluwa voted against a measure that would have privatized Medicaid managed care for incarcerated individuals.","0","1","1","0","0","0","0","0"
"Representative Halversohn-Kerr co-sponsored legislation expanding visas for nurses and teachers serving rural counties experiencing persistent workforce shortages.","1","1","0","0","1","0","0","0"
"Governor Mukhopadhyay signed a bill tying state university funding to graduation rates for students from incarcerated parent households.","0","0","1","1","1","0","0","0"
"Mayor Tjandra announced a $54 million investment in trauma-informed care for school staff in neighborhoods with elevated gun violence rates.","0","1","1","0","1","0","0","0"
"AG Sigursdottir filed civil rights complaints against three hospital systems over ER wait times in immigrant-majority neighborhoods.","1","1","0","0","0","0","0","0"
"Senator Eberhardt-Wisniewski's prescription drug bill would require pharmaceutical price disclosure for medications prescribed in federally funded school clinics.","0","1","0","1","1","0","0","0"
"Representative Quintessa Bjorn voted to expand Pell grants for incarcerated students pursuing healthcare credentialing programs in state prisons.","0","1","1","1","1","0","0","0"
"Governor Penninkilampi signed legislation creating a wage subsidy program for hospitals that hire formerly incarcerated certified nursing assistants.","0","1","1","1","0","0","0","0"
"Mayor Hassanpour announced an expansion of the city's housing voucher program tied to mental health support and employment counseling.","0","1","0","1","0","0","0","0"
"AG Demirjian-Phillips announced charges in a $42 million Medicaid fraud scheme targeting elderly residents of three Southwestern border counties.","1","1","1","0","0","0","0","0"
"Senator Kobayashi-Wendt introduced a bill expanding federal funding for school-based health clinics in counties with elevated opioid overdose rates.","0","1","1","0","1","0","0","0"
"Representative Adesuyi voted to extend the child tax credit while also expanding eligibility for free school meals nationwide.","0","0","0","1","1","0","0","0"
"Governor Cervantes-Dahlquist signed legislation expanding employment protections for healthcare workers organizing union representation campaigns.","0","1","0","1","0","0","0","0"
"Mayor Trinh-Eriksson announced an expansion of the city's gun buyback program funded through hospital tax-exempt obligations.","0","1","1","1","0","0","0","0"
"AG Voinovich filed civil charges against three landlords for systematically excluding voucher holders and refugee resettlement clients.","1","0","1","1","0","0","0","0"
"Senator Hadjiargyrou voted to expand Medicaid asset-recovery limits while also funding rural hospital workforce retention grants.","0","1","0","1","0","0","0","0"
"Representative Sotomayor-Levine co-sponsored a bill creating tax credits for employers hiring incarcerated individuals into healthcare apprenticeships.","0","1","1","1","1","0","0","0"
