"claim_text","immigration","healthcare","crime","economy","education","legal_political","elections","foreign_policy","verdict","speaker"
"The economy bled $24 billion due to the government shutdown.",0,1,0,1,0,0,0,0,"Mostly True","doonesbury"
"Says Mitt Romney wants to get rid of Planned Parenthood.",0,1,0,1,0,0,0,0,"Mostly False","planned-parenthood-action-fund"
"Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.",0,0,1,0,0,0,0,1,"Mostly True","hillary-clinton"
"We have a federal government that thinks they have the authority to regulate our toilet seats.",0,0,1,0,0,1,0,0,"True","ted-cruz"
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",1,1,0,0,0,0,0,0,"False","chain-email"
"Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.",0,0,0,0,0,1,1,0,"False","ken-cuccinelli"
"Only 2 percent of public high schools in the country offer PE classes.",0,1,0,0,1,0,0,0,"False","michelle-obama"
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",0,0,0,0,1,1,0,1,"True","john-barrasso"
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",0,0,0,1,1,0,0,0,"Mostly True","empower-texans"
"Under Mayor Cicilline, [Providence] was a sanctuary city.",1,0,0,0,0,1,0,0,"False","john-depetro"
"Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.",1,0,1,0,0,0,0,0,"False","garnet-coleman"
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",0,0,0,0,0,0,1,1,"False","donald-trump"
"U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.",1,0,1,0,0,0,0,1,"Mostly False","michael-opitz"
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",1,0,0,0,0,1,0,0,"Mostly True","alfredo-gutierrez"
"The cost of health care is now the single-biggest factor driving down the federal budget deficit.",0,1,0,1,0,0,0,0,"Mostly True","barack-obama"
"Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.",0,1,0,0,0,1,0,0,"True","jeanne-shaheen"
"We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.",1,0,1,0,0,0,0,0,"Mostly True","cory-booker"
"Austin is burdened by the fastest-growing tax increases of any major city in the nation.",0,0,0,1,0,0,0,0,"False","jim-skaggs"
"Says David Jolly supports privatizing Social Security.",0,0,0,1,0,0,0,0,"Mostly False","florida-democratic-party"
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",0,0,0,1,0,0,0,0,"Mostly True","alison-lundergan-grimes"
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",0,0,0,1,0,0,0,0,"Mixed","frank-caprio"
"The (federal) debt is growing by more than $4 billion a day.",0,0,0,1,0,0,0,0,"True","rick-perry"
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",0,0,0,1,0,0,0,0,"Mixed","david-scott"
"Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.",0,0,0,1,0,0,0,0,"Mostly True","scott-walker"
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",0,1,0,1,0,0,0,0,"Mixed","ron-johnson"
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",0,0,0,1,0,0,1,0,"Mixed","donna-brazile"
"Says Obama promised unemployment would never go above 8 percent.",0,0,0,1,0,0,0,0,"Mostly False","paul-ryan"
"The economy is creating jobs at the fastest pace since 1999.",0,0,0,1,0,0,0,0,"True","barack-obama"
"About half of the presidents have been governors; half of them, senators.",0,0,1,0,0,0,1,0,"False","ted-cruz"
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",0,0,0,1,0,0,0,0,"Mostly True","hillary-clinton"
"Says 88 Texas constables have died in the line of duty.",1,0,1,0,0,0,0,0,"True","bruce-elfant"
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",0,0,0,1,0,0,0,0,"Mostly True","dave-yost"
"The Air Force wants taxpayers to fund a fantasy football league.",0,0,0,1,0,0,0,1,"False","blog-posting"
"Some neighborhood schools are closing.",0,0,0,1,1,0,0,0,"Mostly True","texas-house-democratic-caucus"
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",0,0,0,1,0,0,0,0,"Mostly True","marco-rubio"
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",0,0,0,1,0,0,0,0,"Mostly False","rick-scott"
"Says the U.S. Supreme Court found that Social Security is not guaranteed.",0,0,0,1,0,0,0,0,"True","david-jolly"
"Oregonians have an amazing no-cost way to fight abortion with free political donations",0,1,0,0,0,0,1,0,"True","oregon-right-life-pac"
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",1,0,0,0,0,0,0,1,"False","sean-hannity"
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",0,0,0,1,0,0,0,0,"Mostly True","dave-brat"
"President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.",0,0,0,1,0,0,1,0,"Mostly True","hillary-clinton"
"Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.",1,0,1,0,0,0,0,0,"False","louie-gohmert"
"Were now spending 42 percent of our economy on government.",0,0,0,1,0,0,0,0,"Mostly True","mitt-romney"
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",0,1,1,0,0,0,0,0,"False","texas-right-life"
"We (Democrats) have made steady progress creating jobs and improving our schools.",0,0,0,1,1,0,0,0,"Mixed","armond-budish"
"Whether you like to admit it or not, half our general revenue goes to education.",0,0,0,1,1,0,0,0,"True","mike-haridopolos"
"Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.",0,0,1,1,0,0,0,0,"Mixed","americans-united-change"
"The jobs bill includes President Obamas tax on soup kitchens",0,0,0,1,0,0,0,0,"Mostly False","eric-cantor"
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",0,1,1,0,0,0,0,0,"Mixed","robert-puente"
"Says Chris Christie vetoed a jobs package of 30 bills.",0,0,0,1,0,0,0,0,"Mixed","stephen-sweeney"
"There are already more American jobs in the solar industry than in coal mining.",0,0,0,1,0,0,0,0,"True","sheldon-whitehouse"
"Barack Obama is in an economy thats only worsened since hes been president of the United States.",0,0,0,1,0,0,0,0,"Mixed","matthew-dowd"
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",0,0,0,1,0,0,0,0,"Mixed","one-new-jersey"
"There are a lot of casinos across the country that have gone bankrupt.",0,0,0,1,0,0,0,0,"True","robert-jacquard"
"Small businesses create 70 percent of the jobs in America.",0,0,0,1,0,0,0,0,"True","eric-cantor"
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",0,0,1,0,1,0,0,0,"Mixed","dream-defenders"
"If Texas were a country our economy would rank # 10...in the WORLD.",0,0,1,1,0,0,0,0,"Mostly True","greg-abbott"
"There are more oil rigs in operation in the United States than the rest of the world combined.",1,0,0,1,0,0,0,0,"False","david-cicilline"
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",0,0,0,1,0,0,0,0,"Mixed","marcy-kaptur"
"It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.",0,0,0,1,0,0,1,0,"Mostly True","americans-tax-reform"
"The Obama administration shut down the Amber Alert program because of the government shutdown.",0,0,1,1,0,0,0,0,"False","tweets"
